Time,AQI,cough,breathing problem,asthma,cough_lag1,breathing_lag1,asthma_lag1,cough_lag2,breathing_lag2,asthma_lag2,cough_lag3,breathing_lag3,asthma_lag3
2015-01-01,343.0,64,88,81,83.0,89.0,83.0,62.0,86.0,88.0,47.0,85.0,95.0
2015-02-01,418.8301886792453,83,89,83,62.0,86.0,88.0,47.0,85.0,95.0,38.0,77.0,81.0
2015-03-01,298.1609195402299,62,86,88,47.0,85.0,95.0,38.0,77.0,81.0,36.0,76.0,72.0
2015-04-01,192.22485207100593,47,85,95,38.0,77.0,81.0,36.0,76.0,72.0,42.0,83.0,70.0
2015-05-01,193.17837837837837,38,77,81,36.0,76.0,72.0,42.0,83.0,70.0,50.0,79.0,73.0
2015-06-01,171.85,36,76,72,42.0,83.0,70.0,50.0,79.0,73.0,58.0,86.0,87.0
2015-07-01,149.625,42,83,70,50.0,79.0,73.0,58.0,86.0,87.0,63.0,82.0,87.0
2015-08-01,156.3279569892473,50,79,73,58.0,86.0,87.0,63.0,82.0,87.0,77.0,85.0,84.0
2015-09-01,165.0677966101695,58,86,87,63.0,82.0,87.0,77.0,85.0,84.0,88.0,96.0,69.0
2015-10-01,243.54901960784315,63,82,87,77.0,85.0,84.0,88.0,96.0,69.0,78.0,84.0,83.0
2015-11-01,257.8864864864865,77,85,84,88.0,96.0,69.0,78.0,84.0,83.0,75.0,87.0,91.0
2015-12-01,251.33879781420765,88,96,69,78.0,84.0,83.0,75.0,87.0,91.0,57.0,87.0,88.0
2016-01-01,280.55555555555554,78,84,83,75.0,87.0,91.0,57.0,87.0,88.0,46.0,79.0,91.0
2016-02-01,232.5754189944134,75,87,91,57.0,87.0,88.0,46.0,79.0,91.0,37.0,84.0,84.0
2016-03-01,195.51030927835052,57,87,88,46.0,79.0,91.0,37.0,84.0,84.0,43.0,90.0,77.0
2016-04-01,187.98994974874373,46,79,91,37.0,84.0,84.0,43.0,90.0,77.0,70.0,89.0,69.0
2016-05-01,163.365,37,84,84,43.0,90.0,77.0,70.0,89.0,69.0,72.0,86.0,73.0
2016-06-01,151.80232558139534,43,90,77,70.0,89.0,69.0,72.0,86.0,73.0,77.0,84.0,80.0
2016-07-01,144.41850220264317,70,89,69,72.0,86.0,73.0,77.0,84.0,80.0,65.0,99.0,80.0
2016-08-01,136.27118644067798,72,86,73,77.0,84.0,80.0,65.0,99.0,80.0,77.0,88.0,88.0
2016-09-01,138.112,77,84,80,65.0,99.0,80.0,77.0,88.0,88.0,66.0,73.0,81.0
2016-10-01,215.1153846153846,65,99,80,77.0,88.0,88.0,66.0,73.0,81.0,72.0,80.0,83.0
2016-11-01,263.58677685950414,77,88,88,66.0,73.0,81.0,72.0,80.0,83.0,76.0,83.0,90.0
2016-12-01,263.55555555555554,66,73,81,72.0,80.0,83.0,76.0,83.0,90.0,59.0,78.0,91.0
2017-01-01,241.48347107438016,72,80,83,76.0,83.0,90.0,59.0,78.0,91.0,44.0,72.0,96.0
2017-02-01,221.28217821782178,76,83,90,59.0,78.0,91.0,44.0,72.0,96.0,42.0,73.0,87.0
2017-03-01,170.15413533834587,59,78,91,44.0,72.0,96.0,42.0,73.0,87.0,41.0,77.0,79.0
2017-04-01,187.33474576271186,44,72,96,42.0,73.0,87.0,41.0,77.0,79.0,56.0,89.0,71.0
2017-05-01,176.81512605042016,42,73,87,41.0,77.0,79.0,56.0,89.0,71.0,71.0,82.0,75.0
2017-06-01,128.70901639344262,41,77,79,56.0,89.0,71.0,71.0,82.0,75.0,79.0,84.0,85.0
2017-07-01,97.1264367816092,56,89,71,71.0,82.0,75.0,79.0,84.0,85.0,82.0,100.0,87.0
2017-08-01,90.99603174603175,71,82,75,79.0,84.0,85.0,82.0,100.0,87.0,93.0,95.0,91.0
2017-09-01,103.40892193308551,79,84,85,82.0,100.0,87.0,93.0,95.0,91.0,91.0,79.0,84.0
2017-10-01,214.02822580645162,82,100,87,93.0,95.0,91.0,91.0,79.0,84.0,99.0,83.0,91.0
2017-11-01,268.1878453038674,93,95,91,91.0,79.0,84.0,99.0,83.0,91.0,100.0,80.0,94.0
2017-12-01,228.32125603864733,91,79,84,99.0,83.0,91.0,100.0,80.0,94.0,79.0,83.0,94.0
2018-01-01,257.36561743341406,99,83,91,100.0,80.0,94.0,79.0,83.0,94.0,55.0,78.0,92.0
2018-02-01,235.94761904761904,100,80,94,79.0,83.0,94.0,55.0,78.0,92.0,44.0,73.0,95.0
2018-03-01,205.25799573560766,79,83,94,55.0,78.0,92.0,44.0,73.0,95.0,40.0,77.0,81.0
2018-04-01,160.77882352941177,55,78,92,44.0,73.0,95.0,40.0,77.0,81.0,49.0,70.0,77.0
2018-05-01,148.35864978902953,44,73,95,40.0,77.0,81.0,49.0,70.0,77.0,62.0,73.0,78.0
2018-06-01,150.49372384937237,40,77,81,49.0,70.0,77.0,62.0,73.0,78.0,73.0,73.0,85.0
2018-07-01,104.59706959706959,49,70,77,62.0,73.0,78.0,73.0,73.0,85.0,68.0,73.0,89.0
2018-08-01,111.46551724137932,62,73,78,73.0,73.0,85.0,68.0,73.0,89.0,65.0,63.0,91.0
2018-09-01,119.90200445434299,73,73,85,68.0,73.0,89.0,65.0,63.0,91.0,68.0,65.0,84.0
2018-10-01,196.03326810176125,68,73,89,65.0,63.0,91.0,68.0,65.0,84.0,81.0,67.0,91.0
2018-11-01,265.46356275303646,65,63,91,68.0,65.0,84.0,81.0,67.0,91.0,82.0,73.0,93.0
2018-12-01,254.2963671128107,68,65,84,81.0,67.0,91.0,82.0,73.0,93.0,62.0,59.0,97.0
2019-01-01,265.2482014388489,81,67,91,82.0,73.0,93.0,62.0,59.0,97.0,46.0,67.0,100.0
2019-02-01,198.29941291585126,82,73,93,62.0,59.0,97.0,46.0,67.0,100.0,41.0,63.0,94.0
2019-03-01,168.74475524475525,62,59,97,46.0,67.0,100.0,41.0,63.0,94.0,42.0,65.0,83.0
2019-04-01,154.07509157509156,46,67,100,41.0,63.0,94.0,42.0,65.0,83.0,59.0,74.0,80.0
2019-05-01,144.97359154929578,41,63,94,42.0,65.0,83.0,59.0,74.0,80.0,75.0,90.0,78.0
2019-06-01,122.22284644194757,42,65,83,59.0,74.0,80.0,75.0,90.0,78.0,80.0,86.0,89.0
2019-07-01,102.44276094276094,59,74,80,75.0,90.0,78.0,80.0,86.0,89.0,86.0,86.0,95.0
2019-08-01,102.45517241379311,75,90,78,80.0,86.0,89.0,86.0,86.0,95.0,98.0,85.0,93.0
2019-09-01,93.12745098039215,80,86,89,86.0,86.0,95.0,98.0,85.0,93.0,97.0,77.0,86.0
2019-10-01,146.28378378378378,86,86,95,98.0,85.0,93.0,97.0,77.0,86.0,100.0,82.0,98.0
2019-11-01,196.2863705972435,98,85,93,97.0,77.0,86.0,100.0,82.0,98.0,,,
2019-12-01,186.7496318114875,97,77,86,100.0,82.0,98.0,,,,,,
2020-01-01,168.48656294200848,100,82,98,,,,,,,,,
