country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Munger,"Town Hall, Munger - BSPCB","29-07-2026 14:00:00",25.376776,86.471523,OZONE,19,30,25
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","29-07-2026 14:00:00",26.1403345,85.3650192,NO2,4,9,5
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","29-07-2026 14:00:00",26.1403345,85.3650192,SO2,11,19,15
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","29-07-2026 14:00:00",26.1209,85.3647,OZONE,8,18,13
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","29-07-2026 14:00:00",26.11442,85.39813,PM10,18,48,29
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","29-07-2026 14:00:00",26.11442,85.39813,NO2,16,26,20
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","29-07-2026 14:00:00",26.11442,85.39813,NH3,4,13,9
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","29-07-2026 14:00:00",26.11442,85.39813,CO,15,19,16
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB","29-07-2026 14:00:00",25.610369,85.132568,CO,23,26,25
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","29-07-2026 14:00:00",25.599486,85.113666,NH3,2,3,3
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","29-07-2026 14:00:00",25.586562,85.043586,PM10,27,41,32
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","29-07-2026 14:00:00",25.586562,85.043586,NO2,20,25,23
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","29-07-2026 14:00:00",25.586562,85.043586,NH3,8,9,9
India,Bihar,Patna,"Muradpur, Patna - BSPCB","29-07-2026 14:00:00",25.619651,85.147382,PM10,42,76,59
India,Bihar,Patna,"Muradpur, Patna - BSPCB","29-07-2026 14:00:00",25.619651,85.147382,NH3,4,5,5
India,Bihar,Patna,"Muradpur, Patna - BSPCB","29-07-2026 14:00:00",25.619651,85.147382,SO2,8,10,9
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","29-07-2026 14:00:00",25.592539,85.227158,OZONE,32,83,58
India,Bihar,Patna,"Samanpura, Patna - BSPCB","29-07-2026 14:00:00",25.596727,85.085624,CO,21,23,22
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB","29-07-2026 14:00:00",25.366336,87.117468,NH3,0,1,0
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB","29-07-2026 14:00:00",22.118125,83.140608,NO2,3,15,6
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB","29-07-2026 14:00:00",22.118125,83.140608,NH3,3,3,3
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","29-07-2026 14:00:00",22.348441,82.549611,NO2,4,6,5
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","29-07-2026 14:00:00",22.348441,82.549611,CO,13,20,16
India,Chhattisgarh,Korba,"Rampur, Korba - CECB","29-07-2026 14:00:00",22.368195,82.746431,NO2,4,14,7
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB","29-07-2026 14:00:00",22.12665,83.483212,PM2.5,0,6,2
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB","29-07-2026 14:00:00",22.1910172,83.5197009,PM10,NA,NA,NA
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB","29-07-2026 14:00:00",21.237755,81.705301,NO2,4,24,6
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB","29-07-2026 14:00:00",21.237755,81.705301,NH3,2,2,2
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB","29-07-2026 14:00:00",21.237755,81.705301,OZONE,1,19,6
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","29-07-2026 14:00:00",21.258815,81.578979,NO2,1,8,3
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","29-07-2026 14:00:00",21.258815,81.578979,CO,20,32,25
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","29-07-2026 14:00:00",21.258815,81.578979,OZONE,13,23,18
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","29-07-2026 14:00:00",21.219665,81.630094,NO2,0,4,2
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","29-07-2026 14:00:00",21.219665,81.630094,NH3,2,2,2
