"Time","asthma"
"2014-12-01",79
"2015-01-01",81
"2015-02-01",83
"2015-03-01",88
"2015-04-01",95
"2015-05-01",81
"2015-06-01",72
"2015-07-01",70
"2015-08-01",73
"2015-09-01",87
"2015-10-01",87
"2015-11-01",84
"2015-12-01",69
"2016-01-01",83
"2016-02-01",91
"2016-03-01",88
"2016-04-01",91
"2016-05-01",84
"2016-06-01",77
"2016-07-01",69
"2016-08-01",73
"2016-09-01",80
"2016-10-01",80
"2016-11-01",88
"2016-12-01",81
"2017-01-01",83
"2017-02-01",90
"2017-03-01",91
"2017-04-01",96
"2017-05-01",87
"2017-06-01",79
"2017-07-01",71
"2017-08-01",75
"2017-09-01",85
"2017-10-01",87
"2017-11-01",91
"2017-12-01",84
"2018-01-01",91
"2018-02-01",94
"2018-03-01",94
"2018-04-01",92
"2018-05-01",95
"2018-06-01",81
"2018-07-01",77
"2018-08-01",78
"2018-09-01",85
"2018-10-01",89
"2018-11-01",91
"2018-12-01",84
"2019-01-01",91
"2019-02-01",93
"2019-03-01",97
"2019-04-01",100
"2019-05-01",94
"2019-06-01",83
"2019-07-01",80
"2019-08-01",78
"2019-09-01",89
"2019-10-01",95
"2019-11-01",93
"2019-12-01",86
"2020-01-01",98
