"Time","breathing problem"
"2014-12-01",69
"2015-01-01",88
"2015-02-01",89
"2015-03-01",86
"2015-04-01",85
"2015-05-01",77
"2015-06-01",76
"2015-07-01",83
"2015-08-01",79
"2015-09-01",86
"2015-10-01",82
"2015-11-01",85
"2015-12-01",96
"2016-01-01",84
"2016-02-01",87
"2016-03-01",87
"2016-04-01",79
"2016-05-01",84
"2016-06-01",90
"2016-07-01",89
"2016-08-01",86
"2016-09-01",84
"2016-10-01",99
"2016-11-01",88
"2016-12-01",73
"2017-01-01",80
"2017-02-01",83
"2017-03-01",78
"2017-04-01",72
"2017-05-01",73
"2017-06-01",77
"2017-07-01",89
"2017-08-01",82
"2017-09-01",84
"2017-10-01",100
"2017-11-01",95
"2017-12-01",79
"2018-01-01",83
"2018-02-01",80
"2018-03-01",83
"2018-04-01",78
"2018-05-01",73
"2018-06-01",77
"2018-07-01",70
"2018-08-01",73
"2018-09-01",73
"2018-10-01",73
"2018-11-01",63
"2018-12-01",65
"2019-01-01",67
"2019-02-01",73
"2019-03-01",59
"2019-04-01",67
"2019-05-01",63
"2019-06-01",65
"2019-07-01",74
"2019-08-01",90
"2019-09-01",86
"2019-10-01",86
"2019-11-01",85
"2019-12-01",77
"2020-01-01",82
