"Time","cough"
"2014-12-01",62
"2015-01-01",64
"2015-02-01",83
"2015-03-01",62
"2015-04-01",47
"2015-05-01",38
"2015-06-01",36
"2015-07-01",42
"2015-08-01",50
"2015-09-01",58
"2015-10-01",63
"2015-11-01",77
"2015-12-01",88
"2016-01-01",78
"2016-02-01",75
"2016-03-01",57
"2016-04-01",46
"2016-05-01",37
"2016-06-01",43
"2016-07-01",70
"2016-08-01",72
"2016-09-01",77
"2016-10-01",65
"2016-11-01",77
"2016-12-01",66
"2017-01-01",72
"2017-02-01",76
"2017-03-01",59
"2017-04-01",44
"2017-05-01",42
"2017-06-01",41
"2017-07-01",56
"2017-08-01",71
"2017-09-01",79
"2017-10-01",82
"2017-11-01",93
"2017-12-01",91
"2018-01-01",99
"2018-02-01",100
"2018-03-01",79
"2018-04-01",55
"2018-05-01",44
"2018-06-01",40
"2018-07-01",49
"2018-08-01",62
"2018-09-01",73
"2018-10-01",68
"2018-11-01",65
"2018-12-01",68
"2019-01-01",81
"2019-02-01",82
"2019-03-01",62
"2019-04-01",46
"2019-05-01",41
"2019-06-01",42
"2019-07-01",59
"2019-08-01",75
"2019-09-01",80
"2019-10-01",86
"2019-11-01",98
"2019-12-01",97
"2020-01-01",100
